,Date of sale,Address,Price,No. rooms,Living area,Plot size
0, 23 november 2017,Sjöhåla 580, 3100000kr,5rum,"('94', '87')",1068m² 
1, 18 november 2017,Galeasgatan 15, 3850000kr,5rum,"('103', '64')",610m² 
2, 17 november 2017,Västerhöjdsvägen 36, 4000000kr,5rum,"('107', '')",258m² 
3, 16 november 2017,Gråstensvägen 19, 3200000kr,5rum,"('94', '')",1197m² 
4, 16 november 2017,Hägnan 135, 8800000kr,6rum,"('235', '')",104335m² 
5, 15 november 2017,Rishammarvägen 17, 4375000kr,6rum,"('120', '80')",1142m² 
6, 10 november 2017,Nygatan 14, 10800000kr,6rum,"('167', '80')",677m² 
7, 5 november 2017,Granndalen 7, 1875000kr,2rum,"('50', '')",1465m² 
8, 1 november 2017,Skårby 670, 3000000kr,6rum,"('143', '')",4813m² 
9, 1 november 2017,Kodevägen 3, 4300000kr,7rum,"('150', '50')",2025m² 
10, 31 oktober 2017,Årsnäs 290, 4500000kr,6rum,"('145', '')",249m² 
11, 31 oktober 2017,Staby 350, 4950000kr,5rum,"('167', '')",2558m² 
12, 27 oktober 2017,Vråstigen 6, 2425000kr,4rum,"('110', '80')",911m² 
13, 27 oktober 2017,Bergkristallvägen 23, 2475000kr,3rum,"('100', '')",1453m² 
14, 26 oktober 2017,Gatan 9, 4780000kr,5rum,"('130', '')",504m² 
15, 23 oktober 2017,Kållen 160, 7900000kr,10rum,"('325', '82')",359m² 
16, 21 oktober 2017,Fredkullagatan 8, 1650000kr,4rum,"('88', '')",1819m² 
17, 20 oktober 2017,Jakobsvägen 7, 7160000kr,6rum,"('175', '100')",741m² 
18, 20 oktober 2017,Mjölnarvägen 13, 5475000kr,3rum,"('188', '')",1324m² 
19, 16 oktober 2017,Klövergången 15, 3965000kr,7rum,"('158', '59')",899m² 
20, 13 oktober 2017,Ryr 130, 4150000kr,4rum,"('125', '')",401m² 
21, 13 oktober 2017,Röd 140, 2495000kr,5rum,"('100', '20')",450m² 
22, 13 oktober 2017,Smaragdvägen 48, 1600000kr,5rum,"('80', '20')",2270m² 
23, 12 oktober 2017,Ulvesund 405, 3400000kr,4rum,"('122', '11')",2052m² 
24, 12 oktober 2017,Åsebyberg 853, 3700000kr,5rum,"('133', '')",368m² 
25, 10 oktober 2017,Toftebergsvägen 2, 2670000kr,3rum,"('72', '')",681m² 
26, 9 oktober 2017,Kärnavägen 4, 4150000kr,5rum,"('137', '')",1462m² 
27, 6 oktober 2017,Enekullsvägen 28, 3700000kr,5rum,"('84', '')",1085m² 
28, 5 oktober 2017,Skårshöjd 8, 4100000kr,7rum,"('110', '90')",860m² 
29, 5 oktober 2017,Lundby 280, 4100000kr,4rum,"('125', '18')",789m² 
30, 3 oktober 2017,Rosenstensvägen 3, 2700000kr,5rum,"('120', '40')",900m² 
31, 2 oktober 2017,Bräcke 330, 3250000kr,4rum,"('85', '')",2056m² 
32, 29 september 2017,Ulvesund 419, 4000000kr,6rum,"('143', '')",458m² 
33, 25 september 2017,Bergåsvägen 23, 2800000kr,4rum,"('86', '')",1188m² 
34, 22 september 2017,Vävra 710, 2710000kr,2rum,"('65', '')",688m² 
35, 21 september 2017,Trätäljagatan 2, 4575000kr,5rum,"('131', '37')",1267m² 
36, 20 september 2017,Torp 340, 3650000kr,5rum,"('100', '100')",4794m² 
37, 20 september 2017,Åkerhögsvägen 17, 5875000kr,9rum,"('147', '147')",937m² 
38, 14 september 2017,Rävo 170, 4950000kr,4rum,"('117', '')",960m² 
39, 10 september 2017,Törnrosgatan 5, 4325000kr,6rum,"('127', '100')",21023m² 
40, 8 september 2017,Snäckliden 13, 4575000kr,6rum,"('155', '20')",1824m² 
41, 7 september 2017,Sjöhåla 170, 7150000kr,5rum,"('165', '60')",4627m² 
42, 7 september 2017,Duvesjön 308, 4555000kr,6rum,"('195', '')",1075m² 
43, 5 september 2017,Hermelingatan 11, 2800000kr,4rum,"('48', '33')",1590m² 
44, 1 september 2017,Flädervägen 14, 4820000kr,4rum,"('100', '')",602m² 
45, 31 augusti 2017,Solberga 900, 3550000kr,5rum,"('124', '72')",2035m² 
46, 30 augusti 2017,Rishammar 260, 3295000kr,4rum,"('121', '')",916m² 
47, 29 augusti 2017,Skurhagagatan 4, 5300000kr,5rum,"('126', '')",548m² 
48, 28 augusti 2017,Domsvägen 4, 3450000kr,5rum,"('105', '')",476m² 
49, 24 augusti 2017,Åldermansvägen 9, 2500000kr,4rum,"('123', '')",1107m² 
50, 29 november 2013,Västerhöjdsvägen 24, 2525000kr,7rum,"('154', '86')",2982m² 
51, 29 november 2013,Gränd 9, 2750000kr,7rum,"('190', '75')",798m² 
52, 27 november 2013,Åldermansvägen 12, 2150000kr,5rum,"('98', '77')",858m² 
53, 25 november 2013,Lundby 380, 3600000kr,5rum,"('174', '74')",1119m² 
54, 15 november 2013,Oskarsbergsgatan 34, 4160000kr,5rum,"('150', '')",596m² 
55, 15 november 2013,Fontinvägen 26, 4610000kr,4rum,"('121', '3')",422m² 
56, 13 november 2013,Jägarvägen 6, 3745000kr,5rum,"('124', '124')",909m² 
57, 12 november 2013,Komministergatan 16, 2900000kr,4rum,"('140', '')",1818m² 
58, 11 november 2013,Fredkullagatan 24, 3020000kr,4rum,"('119', '48')",773m² 
59, 4 november 2013,Ulvesund 305, 4675000kr,6rum,"('166', '63')",1083m² 
60, 31 oktober 2013,Vävra 535, 2200000kr,5rum,"('159', '16')",564m² 
61, 25 oktober 2013,Åsleröd 110, 5100000kr,7rum,"('175', '100')",723m² 
62, 22 oktober 2013,Rundsvallen 150, 2440000kr,4rum,"('80', '40')",918m² 
63, 18 oktober 2013,Krappvägen 574, 2690000kr,7rum,"('154', '')",775m² 
64, 18 oktober 2013,Staby 774, 1460000kr,3rum,"('60', '')",1069m² 
65, 11 oktober 2013,Glose 590, 1555000kr,3rum,"('57', '57')",975m² 
66, 11 oktober 2013,Svärdgatan 6, 2850000kr,5rum,"('142', '15')",1440m² 
67, 11 oktober 2013,Drakegatan 8, 4845000kr,5rum,"('170', '29')",807m² 
68, 9 oktober 2013,Hällevad 140, 2740000kr,4rum,"('121', '')",1127m² 
69, 8 oktober 2013,Holm 230, 1850000kr,5rum,"('108', '57')",1799m² 
70, 8 oktober 2013,Braseröd 120, 3560000kr,5rum,"('137', '8')",392m² 
71, 3 oktober 2013,Lahälla 760, 3400000kr,4rum,"('121', '39')",853m² 
72, 18 september 2013,Olsegården 13, 2955000kr,6rum,"('144', '58')",2077m² 
73, 13 september 2013,Heden 180, 3700000kr,6rum,"('155', '7')",2861m² 
74, 9 september 2013,Brunnefjäll 132, 1895000kr,4rum,"('108', '8')",7164m² 
75, 30 augusti 2013,Kållstorp 140, 4500000kr,5rum,"('181', '60')",2559m² 
76, 30 augusti 2013,Rönnvägen 14, 3280000kr,5rum,"('140', '32')",375m² 
77, 28 augusti 2013,Ängsgatan 13, 2500000kr,3rum,"('60', '57')",2279m² 
78, 28 augusti 2013,Marielundsvägen 16, 4490000kr,6rum,"('220', '')",1076m² 
79, 27 augusti 2013,Kuskalundsvägen 12, 1360000kr,5rum,"('110', '')",3436m² 
80, 26 augusti 2013,Vävra 705, 2710000kr,6rum,"('109', '109')",1059m² 
81, 20 augusti 2013,Rönnvägen 1, 2550000kr,4rum,"('111', '92')",564m² 
82, 15 augusti 2013,Slånvägen 5, 3230000kr,4rum,"('5', '')",414m² 
83, 15 augusti 2013,Dalen 240, 4500000kr,5rum,"('163', '')",702m² 
84, 15 augusti 2013,Duvesjön 210, 1835000kr,4rum,"('87', '')",1379m² 
85, 13 augusti 2013,Duvesjön 234, 2450000kr,4rum,"('118', '11')",1206m² 
86, 5 augusti 2013,Åsebyberg 680, 2250000kr,5rum,"('98', '71')",941m² 
87, 22 juli 2013,Ulvesund 408, 3550000kr,9rum,"('207', '209')",2017m² 
88, 18 juli 2013,Karantänsgatan 4, 1750000kr,3rum,"('85', '')",2611m² 
89, 9 juli 2013,Skogsvägen 20, 2750000kr,5rum,"('133', '')",1768m² 
90, 3 juli 2013,Rörtången 123, 3000000kr,4rum,"('119', '')",1147m² 
91, 25 juni 2013,Toreby 280, 1550000kr,2rum,"('51', '')",1206m² 
92, 18 juni 2013,Kållstorp 140, 1600000kr,3rum,"('52', '')",805m² 
93, 13 juni 2013,Lievägen 224, 4000000kr,7rum,"('145', '70')",619m² 
94, 12 juni 2013,Beryllvägen 14, 1785000kr,4rum,"('101', '')",1318m² 
95, 9 juni 2013,Staby 375, 3600000kr,3rum,"('101', '70')",1010m² 
96, 31 maj 2013,Granvägen 7, 2770000kr,6rum,"('146', '')",2013m² 
97, 30 maj 2013,Årsnäs 460, 1700000kr,5rum,"('110', '')",3436m² 
98, 29 maj 2013,Trankärr 223, 3470000kr,5rum,"('122', '')",304m² 
99, 29 maj 2013,Marieberg 210, 3020000kr,5rum,"('145', '')",434m² 
100, 24 april 2022,Dotorp 260, 5400000kr,6rum,"('129', '')",1558m² 
101, 24 april 2022,Högalidsgatan 12, 5300000kr,4rum,"('100', '54')",623m² 
102, 22 april 2022,Kodevägen 15, 3600000kr,3rum,"('40', '')",2393m² 
103, 16 april 2022,Kungälvsvägen 27, 5850000kr,6rum,"('120', '34')",958m² 
104, 14 april 2022,Onyxvägen 1, 3150000kr,5rum,"('162', '9')",3245m² 
105, 14 april 2022,Kärnavägen 7, 4775000kr,6rum,"('139', '72')",2003m² 
106, 13 april 2022,Åsebyberg 735, 6450000kr,7rum,"('147', '123')",816m² 
107, 13 april 2022,Lagvägen 4, 4525000kr,6rum,"('133', '')",1301m² 
108, 13 april 2022,Marielundsvägen 12, 4950000kr,6rum,"('155', '')",243m² 
109, 13 april 2022,Gräsgången 5, 4400000kr,7rum,"('97', '133')",818m² 
110, 4 april 2022,Åsebyberg 883, 3995000kr,7rum,"('158', '21')",786m² 
111, 3 april 2022,Åsebyberg 755, 6200000kr,5rum,"('129', '20')",1362m² 
112, 30 mars 2022,Strandgatan 3, 5630000kr,5rum,"('74', '')",816m² 
113, 30 mars 2022,Matskärsvägen 6, 5400000kr,3rum,"('121', '')",854m² 
114, 30 mars 2022,Prejelvägen 103, 4600000kr,4rum,"('96', '')",343m² 
115, 30 mars 2022,Vävra 425, 4630000kr,4rum,"('75', '40')",961m² 
116, 25 mars 2022,Briljantvägen 30, 3900000kr,3rum,"('111', '61')",650m² 
117, 25 mars 2022,Hallsbergsvägen 12, 6000000kr,5rum,"('155', '19')",521m² 
118, 17 mars 2022,Rönnvägen 22, 6300000kr,7rum,"('106', '')",372m² 
119, 16 mars 2022,Galärgatan 8, 5380000kr,4rum,"('165', '50')",1193m² 
120, 15 mars 2022,Bergkristallvägen 3, 7650000kr,5rum,"('143', '')",520m² 
121, 15 mars 2022,Storskiftegatan 17, 5400000kr,6rum,"('150', '15')",1639m² 
122, 15 mars 2022,Dammen 135, 5800000kr,6rum,"('108', '70')",823m² 
123, 11 mars 2022,Rondan 19, 5000000kr,5rum,"('119', '62')",655m² 
124, 10 mars 2022,Tvetgatan 289, 4700000kr,5rum,"('125', '9')",527m² 
125, 10 mars 2022,Östergårdsgatan 20, 5460000kr,4rum,"('111', '')",165m² 
126, 10 mars 2022,Glose 660, 4600000kr,4rum,"('90', '20')",4698m² 
